Age,Gender,Job Type,Daily Social Media Time,Number Of Notifications,Work Hours Per Day,Perceived Productivity Score,Actual Productivity Score,Stress Level,Sleep Hours,Screen Time Before Sleep,Breaks During Work,Uses Focus Apps,Has Digital Wellbeing Enabled,Coffee Consumption Per Day,Days Feeling Burnout Per Month,Weekly Offline Hours,Job Satisfaction Score,Social Platform Preference Facebook,Social Platform Preference Instagram,Social Platform Preference Telegram,Social Platform Preference Tiktok,Social Platform Preference Twitter,High Stress,Social Addicted,Low Sleep,Too Many Notifications,Burnout Risk,Job Optimism,Stress Sleep Ratio,Insomnia Pressure,Mins Per Notification,Distraction Load,Work To Social Ratio,Overbooked Hours,is_outlier
4,F,Education,6.533030229,53,2.95677539,8.616193905,8.534939353,4,5.706471533,1.326484996,7,0,0,2,6,0.107141717,7.776276139,1.0,0.0,0.0,0.0,0.0,0,1,1,1,0,Pessimistic Job,0.7009585480043785,9.174113868,7.395883278113208,346.25060213700004,0.4525886589158777,-8.803722848,False
3,F,Education,3.2281589575,56,7.432620707,7.518123701,6.521746792,4,6.5321247295,0.629731703,7,1,0,1,30,0.0,5.231653797,0.0,0.0,0.0,0.0,1.0,0,0,0,1,1,Pessimistic Job,0.6123581783329143,5.871501082000002,3.458741740178571,180.77690162,2.302433307917428,-6.807095606000001,False
1,M,Education,2.184699425,65,7.197543239,7.860413794,7.015985546,10,5.714876403,0.869092256,10,0,0,0,4,11.0859667,6.233114196,0.0,0.0,0.0,1.0,0.0,1,0,1,1,0,Pessimistic Job,1.7498191202788818,22.85123597,2.016645623076923,142.00546262499998,3.294523336545484,-8.902880933,False
4,F,Education,0.959289397,58,4.98622351,6.641746698,6.879507491,6,5.96795417,1.004195854,3,0,0,2,20,0.0,7.58452405,0.0,0.0,0.0,0.0,1.0,1,0,1,1,1,Pessimistic Job,1.0053696508195538,12.192274980000002,0.992368341724138,55.638785026,5.197830316475394,-12.086532923,False
4,M,Education,1.467712333,46,7.358749513,4.579502893,4.0968721630000005,1,7.751345238,1.400681533,4,0,0,1,6,12.50308529,3.772937498,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,Pessimistic Job,0.1290098646487354,0.2486547620000001,1.914407390869565,67.514767318,5.013754635391485,-7.422192916,False
4,F,Education,1.28321542,75,9.909396739,5.861904251,5.575572892,6,5.186128494,1.994557419,6,1,0,1,26,15.92070147,7.224537797,0.0,1.0,0.0,0.0,0.0,1,0,1,1,1,Pessimistic Job,1.1569323835577143,16.883229036,1.026572336,96.2411565,7.722317379103813,-7.621259346999999,True
3,M,Education,3.351167943,53,7.071516444,8.175550223,7.255788021,5,5.59744533,2.197429595,3,0,0,3,19,4.387935804,8.321601934,0.0,0.0,0.0,0.0,1.0,0,0,1,1,1,Pessimistic Job,0.8932646422113425,12.01277335,3.7937750298113206,177.611900979,2.1101647438383844,-7.979870283,False
2,M,Education,5.709679821,63,3.625870096,6.221369729,5.635592638,5,7.827790154,1.29333712,1,0,1,1,7,7.405045202,5.532121415500001,0.0,0.0,1.0,0.0,0.0,0,1,0,1,0,Pessimistic Job,0.6387498772492005,0.8610492300000017,5.437790305714286,359.709828723,0.635039128229954,-6.836659929,False
0,F,Education,2.404199937,56,3.544599154,5.03875163,4.619996635,1,5.739612769,1.000681114,2,1,0,2,4,11.95897393,4.874985573,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0,Pessimistic Job,0.174227781602456,2.260387231,2.5759285039285715,134.635196472,1.4743362644052844,-12.31158814,False
3,F,Education,0.0,57,5.727944373,2.303097702,3.183590582,3,7.218055999,0.802094562,2,0,0,2,17,6.589553834,2.815661054,0.0,0.0,0.0,1.0,0.0,0,0,0,1,1,Pessimistic Job,0.4156243731574851,2.345832003000001,0.0,0.0,0.0,-11.053999628,False
2,F,Education,5.404437361,75,7.840509086,8.41083452,7.372028474,5,6.102989204,2.283941948,6,0,0,1,27,2.936568166,7.703284828,0.0,0.0,0.0,0.0,1.0,0,1,0,1,1,Pessimistic Job,0.8192706611250299,9.48505398,4.3235498888,405.332802075,1.4507539938531633,-4.652064349,False
0,M,Education,3.345731094,58,4.671900177,8.531443246,7.929969989,4,5.876289641,1.015153396,9,0,0,1,5,0.0,7.122996227,0.0,0.0,0.0,1.0,0.0,0,0,1,1,0,Pessimistic Job,0.6807016407243157,8.494841436000002,3.461101131724138,194.052403452,1.3963764707146546,-10.106079088,False
3,F,Education,3.524744242,58,6.743676563,3.1471850745000003,2.832143351,10,5.188319947,0.713674648,3,1,1,2,27,4.548176009,2.506325514,0.0,0.0,1.0,0.0,0.0,1,0,1,1,1,Pessimistic Job,1.9274061935563973,28.11680053,3.646287146896552,204.435166036,1.9132385500893885,-8.543259248,False
3,F,Education,1.496362421,49,3.436840166,6.781511589,6.72278545,3,5.253987885,0.533114845,0,1,0,3,6,0.0,6.096467763,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,Pessimistic Job,0.5709948453754381,8.238036345000001,1.832280515510204,73.321758629,2.2967966301260114,-13.812809528,False
1,M,Education,5.127694534,75,5.609710948,3.86141537,3.781373504,1,6.16243212,1.516636828,3,1,1,1,2,0.0,4.753120612,1.0,0.0,0.0,0.0,0.0,0,1,0,1,0,Pessimistic Job,0.1622735927191032,1.83756788,4.1021556272,384.57709005,1.0940025601766863,-7.100162398000002,False
