Age,Gender,Job Type,Daily Social Media Time,Number Of Notifications,Work Hours Per Day,Perceived Productivity Score,Actual Productivity Score,Stress Level,Sleep Hours,Screen Time Before Sleep,Breaks During Work,Uses Focus Apps,Has Digital Wellbeing Enabled,Coffee Consumption Per Day,Days Feeling Burnout Per Month,Weekly Offline Hours,Job Satisfaction Score,Social Platform Preference Facebook,Social Platform Preference Instagram,Social Platform Preference Telegram,Social Platform Preference Tiktok,Social Platform Preference Twitter,High Stress,Social Addicted,Low Sleep,Too Many Notifications,Burnout Risk,Job Optimism,Stress Sleep Ratio,Insomnia Pressure,Mins Per Notification,Distraction Load,Work To Social Ratio,Overbooked Hours,is_outlier
4,F,Education,1.28321542,75,9.909396739,5.861904251,5.575572892,6,5.186128494,1.994557419,6,1,0,1,26,15.92070147,7.224537797,0.0,1.0,0.0,0.0,0.0,1,0,1,1,1,Pessimistic Job,1.1569323835577143,16.883229036,1.026572336,96.2411565,7.722317379103813,-7.621259346999999,True
0,F,Education,7.771064101,66,7.891885005,8.980910393,8.148674176,8,5.49779234,0.882227715,3,0,0,0,16,16.25952333,7.3339275345,0.0,1.0,0.0,0.0,0.0,1,1,1,1,1,Pessimistic Job,1.4551295329572234,20.01766128,7.064603728181818,512.890230666,1.0155475366603206,-2.8392585540000006,True
1,F,Education,16.9200344,59,7.653519808,7.037792802,6.685887301,10,10.0,2.214960067,2,1,0,1,29,6.110644135,5.162852938,0.0,0.0,0.0,1.0,0.0,1,1,0,1,1,Pessimistic Job,1.0,0.0,17.206814644067794,998.2820296,0.4523347664115861,10.573554207999996,True
0,M,Education,7.052101829,77,9.091576044,4.633645493,4.821582441,10,5.291479932,2.115617524,4,1,0,5,22,5.301974677,4.615414407,0.0,0.0,0.0,0.0,1.0,1,1,1,1,1,Pessimistic Job,1.8898304686984495,27.085200680000003,5.495144282337662,543.011840833,1.289200902717141,-2.564842194999997,True
0,F,Education,0.930711643,45,5.317051894,5.153697304,4.909046678,6,3.0,1.015145825,3,0,0,2,30,27.42151729,4.592660937,0.0,0.0,0.0,0.0,1.0,1,0,1,0,1,Pessimistic Job,2.0,30.0,1.2409488573333332,41.882023935,5.712888555752171,-14.752236463,True
2,O,Education,4.50944656,52,4.762355604,5.545347275,4.332096859,9,3.716798758,1.417432519,0,0,0,3,6,8.814481824,4.381199901,0.0,0.0,0.0,1.0,0.0,1,1,1,1,0,Pessimistic Job,2.4214386050975967,38.54881117800001,5.203207569230769,234.49122112,1.056084275672179,-11.011399078,True
0,M,Education,0.364595445,55,7.076760017,3.684224281,2.851249335,7,8.088519665,0.161909402,8,1,0,1,16,24.76892196,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,1,1,Pessimistic Job,0.8654241183698723,0.0,0.3977404854545455,20.052749475,19.409896953046136,-8.470124873,True
3,F,Education,0.321587968,53,8.081292099,3.855392602,3.209261435,6,6.888419619,1.843046044,10,1,1,6,31,0.68910636,3.86308786,0.0,0.0,0.0,1.0,0.0,1,0,0,1,1,Pessimistic Job,0.8710270761453738,6.669482285999997,0.3640618505660377,17.044162304,25.129335992446087,-8.708700314,True
3,F,Education,1.084117955,50,8.533332661,4.632688056,3.543407678,8,8.639269732,1.947147077,9,0,0,1,19,1.753884822,1.828656621,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,Pessimistic Job,0.926004193429436,0.0,1.300941546,54.20589775,7.871221596915623,-5.743279651999998,True
0,M,Education,9.456963004,61,4.324902334,4.66787712,4.69039129,7,7.859988609,0.412412806,9,1,0,0,27,2.295044574,6.346778931,0.0,0.0,0.0,1.0,0.0,1,1,0,1,1,Pessimistic Job,0.8905865324009148,0.9800797369999988,9.301930823606558,576.874743244,0.4573246540322407,-2.3581460529999987,True
4,F,Education,8.46542393,60,2.127823251,8.812462828,7.551855251,7,6.6089757,1.214230002,6,0,0,1,7,0.0,6.698464145,0.0,1.0,0.0,0.0,0.0,1,1,0,1,0,Pessimistic Job,1.0591656434748278,9.737170099999998,8.46542393,507.9254358,0.2513546006195108,-6.797777118999999,True
2,M,Education,1.169353767,47,9.889781775,7.311468229,7.309363355,8,7.27541176,2.092730576,0,0,1,0,0,1.518216119,6.901158089,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,Pessimistic Job,1.0995941211167957,5.796705920000001,1.4927920429787234,54.959627049000005,8.457476303661661,-5.665452697999999,True
2,O,Education,6.118275363,45,6.547838679,4.910070718,4.694545188,5,4.134937456,0.319911247,10,0,0,3,17,3.09344659,4.050637012,1.0,0.0,0.0,0.0,0.0,0,1,1,0,1,Pessimistic Job,1.2092081326997464,19.32531272,8.157700484000001,275.322391335,1.070209869695922,-7.198948502,True
1,F,Education,3.769436442,55,7.132151817,5.897206935,5.417910952,9,6.101217499,0.957098023,2,1,1,0,28,32.3753561,5.571661666,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1,Pessimistic Job,1.4751154177793393,17.089042509000002,4.112112482181818,207.31900431,1.892100298477456,-6.997194241999999,True
4,F,Education,0.589597933,62,7.503407647,6.66145789,5.666693993,10,7.218639529,0.563075408,0,1,0,2,14,3.974545693,6.06656511,1.0,0.0,0.0,0.0,0.0,1,0,0,1,1,Pessimistic Job,1.3853025850406058,7.813604710000002,0.5705786448387096,36.555071846,12.726312673487614,-8.688354891,True
4,F,Education,0.337363631,71,8.494420802,8.487945307,6.66929755,4,6.928519307,2.064276805,0,0,0,2,15,10.84239717,6.17913174,0.0,0.0,0.0,1.0,0.0,0,0,0,1,1,Pessimistic Job,0.5773239306641943,4.285922771999999,0.2850960261971831,23.952817801,25.17882789209131,-8.239696259999999,True
2,M,Education,0.414076766,60,6.912809758,8.291886022,7.7393015,6,5.233118354,1.731436889,6,1,0,2,28,14.09172977,6.266617106,1.0,0.0,0.0,0.0,0.0,1,0,1,1,1,Pessimistic Job,1.1465439139961022,16.601289876,0.414076766,24.84460596,16.694512529109154,-11.439995122,True
2,M,Education,6.931487732,77,5.325898564,8.443668583,7.409044865,8,6.560677042,0.542275724,4,0,0,4,17,13.02280681,7.500586361,0.0,0.0,0.0,1.0,0.0,1,1,0,1,1,Pessimistic Job,1.2193863451570277,11.514583664,5.401159271688312,533.724555364,0.7683629791931081,-5.181936661999998,True
2,M,Education,0.008745851,69,7.054206832,6.053189102,5.269997852,7,9.305430017,0.150906695,5,0,0,0,25,1.800164808,6.369454945,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1,Pessimistic Job,0.7522489543429769,0.0,0.0076050878260869,0.6034637190000001,806.5775225303976,-7.6316172999999985,True
4,M,Education,0.045218153,73,7.134680984,4.852966462,3.914658614,1,4.445313164,3.0,10,0,0,2,9,11.03658856,2.702095593,0.0,0.0,1.0,0.0,0.0,0,0,1,1,0,Pessimistic Job,0.2249560296670248,3.554686836,0.0371656052054794,3.300925169,157.783556174884,-12.374787699,True
2,F,Education,0.394526165,71,8.415787335,3.930884182,3.4948971045,2,6.665908781,0.0,5,1,0,1,17,1.679381788,6.894447874,0.0,0.0,0.0,0.0,1.0,0,0,0,1,1,Pessimistic Job,0.3000341087325779,2.6681824380000005,0.3334023929577464,28.011357715,21.33137946630232,-8.523777719000002,True
3,F,Education,0.635306091,59,8.141965083,7.569264452,6.82931813,6,6.580288047,0.802881105,8,0,0,2,18,6.391959435,5.293849524,0.0,1.0,0.0,0.0,0.0,1,0,0,1,1,Pessimistic Job,0.9118141876380992,8.518271718000001,0.6460739908474576,37.483059369,12.815814610220698,-8.642440779,True
1,M,Education,1.328815159,58,8.54898826,4.631205922,5.029416761,10,7.250389206,0.047261558,9,0,0,0,27,15.68203314,4.906300342,0.0,1.0,0.0,0.0,0.0,1,0,0,1,1,Pessimistic Job,1.3792363024766423,7.496107939999996,1.3746363713793102,77.071279222,6.43354209356969,-6.871807375,True
3,F,Education,3.8720274465,60,6.021166469,6.680510196,6.037451979,10,3.785067645,1.898324004,8,1,0,4,2,4.977188379,5.950211098,0.0,0.0,1.0,0.0,0.0,1,0,1,1,0,Pessimistic Job,2.6419607092649464,42.149323550000005,3.8720274465,232.32164679,1.5550423007571004,-10.3217384395,True
2,M,Education,0.553714645,64,5.905206624,3.186191958,2.744606638,7,7.165929888,1.132785728,10,0,1,2,10,26.95788995,0.628590107,1.0,0.0,0.0,0.0,0.0,1,0,0,1,1,Pessimistic Job,0.97684461185172,5.838490784,0.5191074796875,35.43773728,10.66471092524562,-10.375148843,True
4,M,Education,7.059240287,68,8.873147271,3.079440855,3.81161127,3,6.083719175,0.850850863,9,0,1,5,22,8.19831853,3.110451032,0.0,1.0,0.0,0.0,0.0,0,1,0,1,1,Pessimistic Job,0.4931194083264042,5.748842475000001,6.228741429705883,480.028339516,1.256954985275174,-1.9838932669999991,True
1,F,Education,0.635291634,58,6.623594208,2.171722153,2.932758292,6,6.38751046,0.049851756,5,0,0,1,2,6.647754359,4.642768569,0.0,0.0,1.0,0.0,0.0,1,0,0,1,0,Pessimistic Job,0.9393330997378908,9.674937240000002,0.6571982420689655,36.846914772,10.42606868013628,-10.353603698,True
0,F,Education,1.014263004,59,10.06232895,6.680049944,7.267726844,1,6.5238786950000005,1.374492294,1,1,0,2,3,21.43849174,7.730249984,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,Pessimistic Job,0.1532830462906085,1.4761213049999995,1.0314539023728817,59.841517236,9.920828138576177,-6.399529350999998,True
0,M,Education,0.348693742,79,5.639199949,5.692110757,5.128221175,9,7.171732071,1.453492056,5,0,0,1,1,14.98902455,5.140520246,0.0,1.0,0.0,0.0,0.0,1,0,0,1,0,Pessimistic Job,1.254926970346938,7.454411360999999,0.2648306901265823,27.546805618,16.172357773487086,-10.840374238,True
2,F,Education,7.353520369,72,6.981844758,2.016771146,2.032935661,3,7.753889047,2.756086987,0,1,1,3,17,17.76891954,2.333670969,0.0,1.0,0.0,0.0,0.0,0,1,0,1,1,Pessimistic Job,0.3869026216154986,0.7383328589999989,6.127933640833334,529.453466568,0.9494560982564404,-1.9107458259999996,True
1,F,Education,5.681608216,60,10.92929603,6.690039003,6.0130780355,10,3.785010925,0.694028296,8,0,0,1,4,1.537501106,5.721820906,0.0,0.0,0.0,1.0,0.0,1,1,1,1,0,Pessimistic Job,2.642000300170864,42.14989075,5.681608216,340.89649296,1.9236271869682893,-3.604084829000002,True
1,F,Education,2.548508096,68,9.909610802,3.419680551,2.909223807,4,6.757855766,2.8210492,6,1,0,3,15,10.69035112,2.531712021,0.0,0.0,0.0,0.0,1.0,0,0,0,1,1,Pessimistic Job,0.5919037248656189,4.968576936000002,2.248683614117647,173.298550528,3.8883968301115415,-4.784025336000003,True
4,M,Education,5.504015015,57,6.526587244,3.361114718,2.816622995,2,4.73090643,0.904736806,7,1,1,7,20,0.0,3.59813322,0.0,0.0,0.0,1.0,0.0,0,1,1,1,1,Pessimistic Job,0.4227519672165657,6.53818714,5.793700015789474,313.728855855,1.1857865987307812,-7.238491311000001,True
3,M,Education,7.30316437,54,8.519915549,7.832286712,7.09876403,3,6.037268204,2.337071636,6,0,0,2,30,0.0,6.539622592,1.0,0.0,0.0,0.0,0.0,0,1,0,1,1,Pessimistic Job,0.496913487794421,5.888195388,8.114627077777778,394.37087598,1.1666060240952787,-2.1396518769999986,True
4,M,Education,5.213233169,70,1.28186968,5.956423759,4.481923579,3,8.558601479,0.824966481,2,0,0,2,30,12.40250696,4.806059913,0.0,0.0,0.0,1.0,0.0,0,1,0,1,1,Pessimistic Job,0.3505245579387024,0.0,4.468485573428571,364.92632183,0.2458876552122236,-8.946295672000002,True
0,M,Education,2.361790638,37,10.93846609,5.371158464,4.196202833,1,7.768512168,1.399641508,6,0,0,3,20,23.09343655,3.429026397,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,Pessimistic Job,0.1287247774572836,0.231487832,3.829930764324324,87.386253606,4.631429185129999,-2.9312311039999983,True
4,M,Education,5.045781641,58,7.07448762,2.999717554,3.572467446,10,3.55943329,0.87493022,2,1,0,3,30,0.0,5.882950544,0.0,0.0,0.0,0.0,1.0,1,1,1,1,1,Pessimistic Job,2.809435993110016,44.4056671,5.2197741113793095,292.655335178,1.402059804276021,-8.320297449,True
2,M,Education,3.521373695,54,10.13991349,7.949564808,7.675309917,8,6.423024198,2.734943689,3,0,1,1,20,11.26718751,9.026257016,1.0,0.0,0.0,0.0,0.0,1,0,0,1,1,Pessimistic Job,1.245519206122723,12.615806415999998,3.912637438888889,190.15417953,2.8795334912615687,-3.9156886170000007,True
2,F,Education,17.75481724,51,5.30053665,3.852291753,3.465319427,7,8.37973872,0.785463838,8,1,0,3,11,14.43713769,5.172749686,0.0,0.0,0.0,0.0,1.0,1,1,0,1,1,Pessimistic Job,0.8353482410248705,0.0,20.88802028235294,905.49567924,0.2985407609861716,7.435092609999998,True
4,F,Education,1.490702303,56,10.261902,3.394916794,3.57520929,1,9.956582409,0.049673911,1,1,0,1,27,0.99071783,3.1908366915,0.0,0.0,1.0,0.0,0.0,0,0,0,1,1,Pessimistic Job,0.1004360692174932,0.0,1.5971810389285714,83.479328968,6.883937845502879,-2.2908132880000025,True
4,M,Education,6.292437565,43,5.550350163,4.851449446,5.074714953,9,6.156796126,1.297350139,3,0,0,3,11,13.28990622,4.865540194,0.0,0.0,0.0,1.0,0.0,1,1,0,0,1,Pessimistic Job,1.461799256596011,16.588834866000003,8.780145439534884,270.574815295,0.8820667834469009,-6.000416145999999,True
0,M,Education,0.408912348,62,4.664966323,4.62504727,5.551643047,6,4.719121121,0.0,7,0,0,3,13,13.24108886,5.527475773,0.0,1.0,0.0,0.0,0.0,1,0,1,1,1,Pessimistic Job,1.2714231837153138,19.685273274000004,0.3957216270967741,25.352565576,11.408230506651268,-14.207000208,True
0,F,Education,3.663614838,62,8.174905639,2.728460732,2.873365742,7,3.382019918,1.313164346,5,1,0,5,24,4.857808201,2.898442731,0.0,0.0,1.0,0.0,0.0,1,0,1,1,1,Pessimistic Job,2.069769004831745,32.325860574,3.5454337141935484,227.144119956,2.2313769324787303,-8.779459605,True
3,M,Education,1.820960606,61,8.475630217,2.023850036,2.193220618,10,3.8781937,1.585433351,3,1,0,2,28,8.663354989,1.883551212,0.0,0.0,0.0,0.0,1.0,1,0,1,1,1,Pessimistic Job,2.578519995017268,41.218063,1.7911087927868854,111.078596966,4.654483017959368,-9.825215477,True
1,O,Education,0.039319268,66,8.800511642,6.362278113,5.37404502,6,6.475920553,1.625279706,0,0,1,1,27,3.61199388,6.449300617,0.0,0.0,0.0,0.0,1.0,1,0,0,1,1,Pessimistic Job,0.9265092045053692,9.144476682,0.035744789090909,2.595071688,223.8218585859737,-8.684248537,True
2,M,Education,0.472798178,65,8.735821659,8.73741103,8.397849201,7,4.656258116,0.558221353,4,0,1,3,11,16.06392358,7.912428957,0.0,0.0,1.0,0.0,0.0,1,0,1,1,1,Pessimistic Job,1.5033530843031124,23.406193188,0.4364290873846154,30.73188157,18.47685136172416,-10.135122047,True
0,F,Education,1.340634456,57,11.63881571,8.048200193,7.260947071,6,6.93066169,0.483194451,3,0,1,9,27,17.44635083,6.745072207,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1,Pessimistic Job,0.8657182053276647,6.41602986,1.4111941642105263,76.41616399200001,8.681572861200577,-4.089888144,True
3,M,Education,9.419057383,65,9.622769275,2.664101563,2.122244388,8,4.869102647,0.0,6,0,1,3,8,0.0,3.436844544,1.0,0.0,0.0,0.0,0.0,1,1,1,1,0,Pessimistic Job,1.6430132161886215,25.047178824,8.694514507384616,612.238729895,1.0216276304216672,-0.0890706950000037,True
2,O,Education,7.405277453,50,7.210687079,5.454976015,5.202672424,10,6.446439019,1.098060248,4,0,0,3,20,11.05930828,6.336214943,0.0,0.0,0.0,0.0,1.0,1,1,0,0,1,Pessimistic Job,1.551244023332318,15.535609810000004,8.886332943600001,370.26387265,0.973722743646672,-2.937596449000001,True
3,F,Education,6.897579792,46,5.190642828,5.29397684,4.555667185,2,7.141056336,0.936356655,8,0,1,2,28,22.94477519,4.076264392,0.0,0.0,0.0,0.0,1.0,0,1,0,0,1,Pessimistic Job,0.2800706094303525,1.7178873279999998,8.996843206956521,317.288670432,0.7525310303797061,-4.770721043999998,True
1,M,Education,6.478089007,59,6.481685825,2.49325513,2.094405331,10,4.889311855,1.621252069,2,1,0,1,18,2.630499371,2.604886364,0.0,1.0,0.0,0.0,0.0,1,1,1,1,1,Pessimistic Job,2.045277596636347,31.106881450000003,6.5878871257627125,382.207251413,1.0005552282464956,-6.150913313,True
2,F,Education,0.391339131,66,9.032249581,2.601927216,2.152789381,9,4.954730373,0.777393766,8,0,1,3,19,19.6191116,2.260162936,0.0,0.0,0.0,1.0,0.0,1,0,1,1,1,Pessimistic Job,1.8164459662717556,27.407426643,0.3557628463636364,25.828382646,23.080363974641728,-9.621680915,True
3,F,Education,0.851898676,54,6.901883807,4.050607829,3.318012305,3,6.582532076,1.958926608,10,0,0,0,7,18.39219859,5.211540069,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,Pessimistic Job,0.4557516720561135,4.252403772000001,0.9465540844444446,46.002528504,8.101766091957161,-9.663685441,True
4,M,Education,0.167835331,56,7.899406619,4.192709094,3.032978036,3,4.696113295,1.592222467,9,0,1,4,29,17.63652585,1.352928837,0.0,0.0,1.0,0.0,0.0,0,0,1,1,1,Pessimistic Job,0.6388261550661759,9.911660115,0.1798235689285714,9.398778536,47.06641070109368,-11.236644755,True
1,M,Education,12.6858422,59,4.74850223,8.636959176,7.373979044,2,8.16242319,2.307527888,6,0,0,4,5,9.312127292,6.898115541,0.0,0.0,0.0,1.0,0.0,0,1,0,1,0,Pessimistic Job,0.2450252766176412,0.0,12.90085647457627,748.4646898,0.374315095138106,1.5967676200000014,True
4,M,Education,0.323971368,65,7.620319084,5.529513239,4.660526033,8,6.839384736,0.969794552,2,1,0,4,28,0.538200574,5.322184012,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1,Pessimistic Job,1.1696958584433697,9.284922111999997,0.2990504935384615,21.05813892,23.52158195658821,-9.216324812,True
2,F,Education,3.519074081,62,6.906795843,5.545347275,4.939414863,9,4.537332207,1.389865376,8,1,0,1,13,4.691694414,5.191051568,0.0,0.0,1.0,0.0,0.0,1,0,1,1,1,Pessimistic Job,1.98354442421368,31.164010137,3.405555562258064,218.182593022,1.9626741819079088,-9.036797869,True
1,M,Education,0.765280604,54,10.0677341,8.078462599,6.356716458,6,6.799324703,0.0,4,1,0,2,18,7.819305769,6.908910835,0.0,0.0,0.0,1.0,0.0,1,0,0,1,1,Pessimistic Job,0.8824405749224887,7.2040517820000005,0.8503117822222221,41.325152616,13.155611219437098,-6.367660593,True
